[0.007s][info][gc] Using Concurrent Mark Sweep
[3.829s][info ][safepoint    ] Total time for which application threads were stopped: 0.0002136 seconds, Stopping threads took: 0.0001655 seconds
[3.830s][info ][safepoint    ] Application time: 0.0005651 seconds
[3.830s][info ][safepoint    ] Entering safepoint region: RevokeBias
[3.830s][info ][safepoint    ] Leaving safepoint region
[3.830s][info ][safepoint    ] Total time for which application threads were stopped: 0.0001289 seconds, Stopping threads took: 0.0000781 seconds
[3.830s][info ][safepoint    ] Application time: 0.0003031 seconds
[3.830s][info ][safepoint    ] Entering safepoint region: RevokeBias
[3.830s][info ][safepoint    ] Leaving safepoint region
[3.830s][info ][safepoint    ] Total time for which application threads were stopped: 0.0001204 seconds, Stopping threads took: 0.0000649 seconds
[3.831s][info ][safepoint    ] Application time: 0.0008182 seconds
[3.831s][info ][safepoint    ] Entering safepoint region: RevokeBias
[3.831s][info ][safepoint    ] Leaving safepoint region
[3.831s][info ][safepoint    ] Total time for which application threads were stopped: 0.0001634 seconds, Stopping threads took: 0.0000613 seconds
[3.832s][info ][safepoint    ] Application time: 0.0009619 seconds
[3.832s][info ][safepoint    ] Entering safepoint region: BulkRevokeBias
[3.833s][info ][safepoint    ] Leaving safepoint region
[3.833s][info ][safepoint    ] Total time for which application threads were stopped: 0.0002902 seconds, Stopping threads took: 0.0000929 seconds
[3.835s][info ][safepoint    ] Application time: 0.0024456 seconds
[3.835s][info ][safepoint    ] Entering safepoint region: RevokeBias
[3.835s][info ][safepoint    ] Leaving safepoint region
[3.835s][info ][safepoint    ] Total time for which application threads were stopped: 0.0001859 seconds, Stopping threads took: 0.0000573 seconds
[3.836s][info ][safepoint    ] Application time: 0.0010314 seconds
[3.836s][info ][safepoint    ] Entering safepoint region: RevokeBias
[3.836s][info ][safepoint    ] Leaving safepoint region
[3.836s][info ][safepoint    ] Total time for which application threads were stopped: 0.0001239 seconds, Stopping threads took: 0.0000378 seconds
[3.841s][info ][safepoint    ] Application time: 0.0049761 seconds
[3.842s][info ][safepoint    ] Entering safepoint region: RevokeBias
[3.842s][info ][safepoint    ] Leaving safepoint region
[3.842s][info ][safepoint    ] Total time for which application threads were stopped: 0.0002954 seconds, Stopping threads took: 0.0000694 seconds
[3.842s][info ][safepoint    ] Application time: 0.0001601 seconds
[3.842s][info ][safepoint    ] Entering safepoint region: RevokeBias
[3.842s][info ][safepoint    ] Leaving safepoint region
[3.842s][info ][safepoint    ] Total time for which application threads were stopped: 0.0001229 seconds, Stopping threads took: 0.0000572 seconds
[3.842s][info ][safepoint    ] Application time: 0.0003802 seconds
[3.843s][info ][safepoint    ] Entering safepoint region: CollectForMetadataAllocation
[3.843s][info ][safepoint    ] Leaving safepoint region
[3.843s][info ][safepoint    ] Total time for which application threads were stopped: 0.0001399 seconds, Stopping threads took: 0.0000385 seconds
[3.846s][info ][safepoint    ] Application time: 0.0030469 seconds
[3.846s][info ][safepoint    ] Entering safepoint region: RevokeBias
[3.846s][info ][safepoint    ] Leaving safepoint region
[3.846s][info ][safepoint    ] Total time for which application threads were stopped: 0.0006999 seconds, Stopping threads took: 0.0005319 seconds
[3.849s][info ][safepoint    ] Application time: 0.0025976 seconds
[3.849s][info ][safepoint    ] Entering safepoint region: RevokeBias
[3.850s][info ][safepoint    ] Leaving safepoint region
[3.850s][info ][safepoint    ] Total time for which application threads were stopped: 0.0004834 seconds, Stopping threads took: 0.0000501 seconds
[3.853s][info ][safepoint    ] Application time: 0.0033296 seconds
[3.853s][info ][safepoint    ] Entering safepoint region: CollectForMetadataAllocation
[3.853s][info ][safepoint    ] Leaving safepoint region
[3.853s][info ][safepoint    ] Total time for which application threads were stopped: 0.0001141 seconds, Stopping threads took: 0.0000451 seconds
[3.853s][info ][safepoint    ] Application time: 0.0003385 seconds
[3.854s][info ][safepoint    ] Entering safepoint region: RevokeBias
[3.854s][info ][safepoint    ] Leaving safepoint region
[3.854s][info ][safepoint    ] Total time for which application threads were stopped: 0.0003007 seconds, Stopping threads took: 0.0002248 seconds
[3.855s][info ][safepoint    ] Application time: 0.0016240 seconds
[3.855s][info ][safepoint    ] Entering safepoint region: RevokeBias
[3.855s][info ][safepoint    ] Leaving safepoint region
[3.855s][info ][safepoint    ] Total time for which application threads were stopped: 0.0001117 seconds, Stopping threads took: 0.0000555 seconds
[3.858s][info ][safepoint    ] Application time: 0.0023959 seconds
[3.858s][info ][safepoint    ] Entering safepoint region: RevokeBias
[3.858s][info ][safepoint    ] Leaving safepoint region
[3.858s][info ][safepoint    ] Total time for which application threads were stopped: 0.0001232 seconds, Stopping threads took: 0.0000683 seconds
[3.860s][info ][safepoint    ] Application time: 0.0017989 seconds
[3.860s][info ][safepoint    ] Entering safepoint region: RevokeBias
[3.860s][info ][safepoint    ] Leaving safepoint region
[3.860s][info ][safepoint    ] Total time for which application threads were stopped: 0.0001781 seconds, Stopping threads took: 0.0000743 seconds
[3.861s][info ][safepoint    ] Application time: 0.0011177 seconds
[3.861s][info ][safepoint    ] Entering safepoint region: RevokeBias
[3.861s][info ][safepoint    ] Leaving safepoint region
[3.861s][info ][safepoint    ] Total time for which application threads were stopped: 0.0001223 seconds, Stopping threads took: 0.0000643 seconds
[3.861s][info ][safepoint    ] Application time: 0.0001562 seconds
[3.861s][info ][safepoint    ] Entering safepoint region: RevokeBias
[3.861s][info ][safepoint    ] Leaving safepoint region
[3.861s][info ][safepoint    ] Total time for which application threads were stopped: 0.0000561 seconds, Stopping threads took: 0.0000060 seconds
[3.862s][info ][safepoint    ] Application time: 0.0009326 seconds
[3.862s][info ][safepoint    ] Entering safepoint region: RevokeBias
[3.862s][info ][safepoint    ] Leaving safepoint region
[3.862s][info ][safepoint    ] Total time for which application threads were stopped: 0.0000679 seconds, Stopping threads took: 0.0000061 seconds
[3.863s][info ][safepoint    ] Application time: 0.0008788 seconds
[3.863s][info ][safepoint    ] Entering safepoint region: RevokeBias
[3.863s][info ][safepoint    ] Leaving safepoint region
[3.863s][info ][safepoint    ] Total time for which application threads were stopped: 0.0001236 seconds, Stopping threads took: 0.0000456 seconds
[3.865s][info ][safepoint    ] Application time: 0.0011731 seconds
[3.865s][info ][safepoint    ] Entering safepoint region: CollectForMetadataAllocation
[3.865s][info ][safepoint    ] Leaving safepoint region
[3.865s][info ][safepoint    ] Total time for which application threads were stopped: 0.0000983 seconds, Stopping threads took: 0.0000423 seconds
[3.866s][info ][safepoint    ] Application time: 0.0010908 seconds
[3.866s][info ][safepoint    ] Entering safepoint region: RevokeBias
[3.866s][info ][safepoint    ] Leaving safepoint region
[3.866s][info ][safepoint    ] Total time for which application threads were stopped: 0.0000892 seconds, Stopping threads took: 0.0000374 seconds
[3.867s][info ][safepoint    ] Application time: 0.0009795 seconds
[3.867s][info ][safepoint    ] Entering safepoint region: RevokeBias
[3.867s][info ][safepoint    ] Leaving safepoint region
[3.867s][info ][safepoint    ] Total time for which application threads were stopped: 0.0003068 seconds, Stopping threads took: 0.0002632 seconds
[3.868s][info ][safepoint    ] Application time: 0.0006911 seconds
[3.868s][info ][safepoint    ] Entering safepoint region: RevokeBias
